,gender,race/ethnicity,lunch,math score,literacy score,mean score
0,Female,Group A,Free/Reduced,49.92857142857143,59.67857142857143,56.42714285714286
0,Female,Group A,Mean Value,58.52777777777778,68.43055555555556,65.12916666666666
1,Female,Group A,Standard,64.0,74.0,70.66681818181816
2,Female,Group B,Free/Reduced,56.51282051282051,68.1923076923077,64.29923076923076
1,Female,Group B,Mean Value,61.40384615384615,70.5625,67.51
3,Female,Group B,Standard,64.33846153846154,71.98461538461538,69.43646153846154
4,Female,Group C,Free/Reduced,52.83870967741935,64.8225806451613,60.82822580645162
2,Female,Group C,Mean Value,62.03333333333333,71.86111111111111,68.58522222222223
5,Female,Group C,Standard,66.86440677966101,75.55932203389831,72.66093220338983
6,Female,Group D,Free/Reduced,58.03921568627451,70.00980392156863,66.01980392156864
3,Female,Group D,Mean Value,65.24806201550388,74.53488372093024,71.4393023255814
7,Female,Group D,Standard,69.96153846153847,77.49358974358974,74.98282051282051
8,Female,Group E,Free/Reduced,61.30434782608695,67.93478260869566,65.72434782608696
4,Female,Group E,Mean Value,70.81159420289855,75.68840579710145,74.0623188405797
9,Female,Group E,Standard,75.56521739130434,79.56521739130434,78.23130434782607
10,Male,Group A,Free/Reduced,58.59090909090909,58.36363636363637,58.43863636363637
5,Male,Group A,Mean Value,63.735849056603776,60.443396226415096,61.54056603773585
11,Male,Group A,Standard,67.38709677419355,61.91935483870968,63.74193548387098
12,Male,Group B,Free/Reduced,58.63333333333333,55.666666666666664,56.654999999999994
6,Male,Group B,Mean Value,65.93023255813954,61.53488372093023,62.99988372093023
13,Male,Group B,Standard,69.83928571428571,64.67857142857143,66.39892857142857
14,Male,Group C,Free/Reduced,60.67307692307692,59.53846153846154,59.91653846153846
7,Male,Group C,Mean Value,67.61151079136691,64.06834532374101,65.24913669064748
15,Male,Group C,Standard,71.75862068965517,66.77586206896552,68.43643678160919
16,Male,Group D,Free/Reduced,64.68181818181819,62.30681818181818,63.098863636363646
8,Male,Group D,Mean Value,69.41353383458646,65.77443609022556,66.98744360902256
17,Male,Group D,Standard,71.75280898876404,67.48876404494382,68.90988764044943
18,Male,Group E,Free/Reduced,73.27777777777777,68.0,69.75888888888888
9,Male,Group E,Mean Value,76.74647887323944,68.84507042253522,71.47859154929577
19,Male,Group E,Standard,77.9245283018868,69.13207547169812,72.06264150943396
